comune,provincia,regione,url,FRONTE DEL DISSENSO,QUINTO POLO PER L'ITALIA,INSIEME PER UN'UMBRIA RESISTENTE,PIU' ITALIA SOVRANA,LEGA,ALTERNATIVA POPOLARE,MOVIMENTO 5 STELLE,FORZA ITALIA,PARTITO DEMOCRATICO,UMBRIA PER LA SANITA' PUBBLICA,DEMOCRAZIA SOVRANA POPOLARE,FRATELLI D'ITALIA,TESEI PRESIDENTE,UNIONE DI CENTRO,NOI MODERATI - CIVICI PER L'UMBRIA,ALLEANZA VERDI E SINISTRA,CIVICI UMBRI,ALTERNATIVA PER L'UMBRIA,FORZA DEL POPOLO,ALTERNATIVA RIFORMISTA RIZZO PRESIDENTE,TRITTO PRESIDENTE UMANI INSIEME LIBERI,UMBRIA DOMANI PROIETTI PRESIDENTE,UMBRIA FUTURA - RIFORMISTI E CIVICI PROIETTI PRESIDENTE,sezioni_scrutinate,sezioni_tot,Paolone Giuseppe_total,Marco Rizzo_total,Martina Leonardi_total,Elia Francesco Fiorini_total,Giuseppe Tritto_total,Donatella Tesei_total,Stefania Proietti_total,Moreno Pasquinelli_total,Fabrizio Pignalberi_total,winning_candidate,diff
Assisi,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Bastia Umbra,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Bettona,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Bevagna,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Campello Sul Clitunno,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Cannara,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Cascia,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Castel Ritaldi,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Castiglione Del Lago,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Cerreto Di Spoleto,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Citerna,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Città Della Pieve,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Città Di Castello,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040130,1,0,0,0,274,1,154,101,793,52,2,283,80,6,11,19,4,1,3,0,6,25,168,14,54,3,2,0,1,6,756,1215,1,0,Stefania Proietti,459
Collazzone,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Corciano,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040150,0,0,0,0,43,1,16,31,172,3,0,65,26,0,9,13,4,2,0,0,2,26,13,2,22,0,0,0,2,2,175,247,0,0,Stefania Proietti,72
Costacciaro,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Deruta,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Foligno,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040180,2,0,0,0,69,2,27,30,117,12,1,145,12,0,20,26,10,0,1,0,5,14,17,5,55,1,1,0,0,5,278,223,2,0,Donatella Tesei,-55
Fossato Di Vico,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
Fratta Todina,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Paolone Giuseppe,0
